"","country","degree","sex","age","year","earn.month","flags"
"39","Australia","Bachelor’s or equivalent education","F","25-64 years",2016,173.89058,""
"40","Australia","Bachelor’s or equivalent education","M","25-64 years",2016,142.33989,""
"41","Australia","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2016,147.13867,""
"42","Australia","Master’s, Doctoral or equivalent education","T","25-64 years",2016,166.53308,""
"43","Australia","Master’s, Doctoral or equivalent education","F","25-64 years",2016,192.87393,""
"44","Australia","Master’s, Doctoral or equivalent education","M","25-64 years",2016,160.48021,""
"45","Australia","Bachelor’s or equivalent education","T","25-64 years",2016,146.41641,""
"46","Australia","Bachelor’s or equivalent education","F","25-64 years",2016,181.52222,""
"47","Australia","Bachelor’s or equivalent education","M","25-64 years",2016,144.75452,""
"48","Australia","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2016,149.63472,""
"49","Australia","Master’s, Doctoral or equivalent education","T","25-64 years",2016,168.31104,""
"50","Australia","Master’s, Doctoral or equivalent education","F","25-64 years",2016,201.33871,""
"51","Australia","Master’s, Doctoral or equivalent education","M","25-64 years",2016,163.20258,""
"52","Austria","Tertiary education","F","25-64 years",2017,147.43066,""
"53","Austria","Tertiary education","M","25-64 years",2017,153.7849,""
"54","Austria","Bachelor’s or equivalent education","M","25-64 years",2017,87.51709,""
"55","Austria","Tertiary education","F","25-64 years",2017,142.56528,""
"56","Austria","Tertiary education","M","25-64 years",2017,153.71069,""
"57","Austria","Bachelor’s or equivalent education","M","25-64 years",2017,87.474854,""
"58","Austria","Tertiary education","F","25-64 years",2017,147.43066,""
"59","Austria","Tertiary education","M","25-64 years",2017,153.7849,""
"60","Austria","Bachelor’s or equivalent education","M","25-64 years",2017,87.51709,""
"61","Austria","Tertiary education","T","25-64 years",2017,146.56091,""
"62","Austria","Bachelor’s or equivalent education","T","25-64 years",2017,105.16596,""
"63","Austria","Bachelor's, Master’s, Doctoral or equivalent education","F","25-64 years",2017,155.12048,""
"64","Austria","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2017,174.50212,""
"65","Austria","Master’s, Doctoral or equivalent education","T","25-64 years",2017,174.77757,""
"66","Austria","Master’s, Doctoral or equivalent education","F","25-64 years",2017,166.06178,""
"67","Austria","Master’s, Doctoral or equivalent education","M","25-64 years",2017,185.87241,""
"68","Austria","Tertiary education","T","25-64 years",2017,145.86089,""
"69","Austria","Bachelor’s or equivalent education","T","25-64 years",2017,104.66365,""
"70","Austria","Bachelor’s or equivalent education","F","25-64 years",2017,111.91975,""
"71","Austria","Bachelor's, Master’s, Doctoral or equivalent education","F","25-64 years",2017,150.93219,""
"72","Austria","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2017,174.2019,""
"73","Austria","Master’s, Doctoral or equivalent education","T","25-64 years",2017,173.94278,""
"74","Austria","Master’s, Doctoral or equivalent education","F","25-64 years",2017,161.57808,""
"75","Austria","Master’s, Doctoral or equivalent education","M","25-64 years",2017,185.55263,""
"76","Austria","Tertiary education","T","25-64 years",2017,146.56091,""
"77","Austria","Bachelor’s or equivalent education","T","25-64 years",2017,105.16596,""
"78","Austria","Bachelor's, Master’s, Doctoral or equivalent education","F","25-64 years",2017,155.12048,""
"79","Austria","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2017,174.50212,""
"80","Austria","Master’s, Doctoral or equivalent education","T","25-64 years",2017,174.77757,""
"81","Austria","Master’s, Doctoral or equivalent education","F","25-64 years",2017,166.06178,""
"82","Austria","Master’s, Doctoral or equivalent education","M","25-64 years",2017,185.87241,""
"83","Austria","Bachelor’s or equivalent education","T","25-64 years",2017,98.095032,""
"84","Austria","Bachelor’s or equivalent education","F","25-64 years",2017,125.26241,""
"85","Austria","Bachelor’s or equivalent education","M","25-64 years",2017,89.874962,""
"86","Austria","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2017,190.07535,""
"87","Austria","Master’s, Doctoral or equivalent education","T","25-64 years",2017,204.36946,""
"88","Austria","Master’s, Doctoral or equivalent education","F","25-64 years",2017,204.87646,""
"89","Austria","Master’s, Doctoral or equivalent education","M","25-64 years",2017,216.25717,""
"90","Austria","Bachelor’s or equivalent education","T","25-64 years",2017,97.438881,""
"91","Austria","Bachelor’s or equivalent education","F","25-64 years",2017,120.01653,""
"92","Austria","Bachelor’s or equivalent education","M","25-64 years",2017,89.706795,""
"93","Austria","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2017,189.71971,""
"94","Austria","Master’s, Doctoral or equivalent education","T","25-64 years",2017,203.00247,""
"95","Austria","Master’s, Doctoral or equivalent education","F","25-64 years",2017,196.2964,""
"96","Austria","Master’s, Doctoral or equivalent education","M","25-64 years",2017,215.85254,""
"97","Austria","Bachelor’s or equivalent education","T","25-64 years",2017,98.095032,""
"98","Austria","Bachelor’s or equivalent education","F","25-64 years",2017,125.26241,""
"99","Austria","Bachelor’s or equivalent education","M","25-64 years",2017,89.874962,""
"100","Austria","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2017,190.07535,""
"101","Austria","Master’s, Doctoral or equivalent education","T","25-64 years",2017,204.36946,""
"102","Austria","Master’s, Doctoral or equivalent education","F","25-64 years",2017,204.87646,""
"103","Austria","Master’s, Doctoral or equivalent education","M","25-64 years",2017,216.25717,""
"104","Belgium","Tertiary education","F","25-64 years",2017,134.6528,""
"105","Belgium","Tertiary education","M","25-64 years",2017,133.338,""
"106","Belgium","Bachelor’s or equivalent education","M","25-64 years",2017,117.8067,""
"107","Belgium","Tertiary education","F","25-64 years",2017,134.5377,""
"108","Belgium","Tertiary education","M","25-64 years",2017,133.2568,""
"109","Belgium","Bachelor’s or equivalent education","M","25-64 years",2017,117.7349,""
"110","Belgium","Tertiary education","F","25-64 years",2017,134.6528,""
"111","Belgium","Tertiary education","M","25-64 years",2017,133.338,""
"112","Belgium","Bachelor’s or equivalent education","M","25-64 years",2017,117.8067,""
"113","Belgium","Tertiary education","T","25-64 years",2017,128.0845,""
"114","Belgium","Bachelor’s or equivalent education","T","25-64 years",2017,114.6112,""
"115","Belgium","Bachelor's, Master’s, Doctoral or equivalent education","F","25-64 years",2017,125.8886,""
"116","Belgium","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2017,133.9103,""
"117","Belgium","Master’s, Doctoral or equivalent education","T","25-64 years",2017,145.3145,""
"118","Belgium","Master’s, Doctoral or equivalent education","F","25-64 years",2017,141.3253,""
"119","Belgium","Master’s, Doctoral or equivalent education","M","25-64 years",2017,150.5561,""
"120","Belgium","Tertiary education","T","25-64 years",2017,127.9671,""
"121","Belgium","Bachelor’s or equivalent education","T","25-64 years",2017,114.5062,""
"122","Belgium","Bachelor's, Master’s, Doctoral or equivalent education","F","25-64 years",2017,125.9424,""
"123","Belgium","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2017,133.7518,""
"124","Belgium","Master’s, Doctoral or equivalent education","T","25-64 years",2017,145.1813,""
"125","Belgium","Master’s, Doctoral or equivalent education","F","25-64 years",2017,141.3858,""
"126","Belgium","Master’s, Doctoral or equivalent education","M","25-64 years",2017,150.3779,""
"127","Belgium","Tertiary education","T","25-64 years",2017,128.0845,""
"128","Belgium","Bachelor’s or equivalent education","T","25-64 years",2017,114.6112,""
"129","Belgium","Bachelor's, Master’s, Doctoral or equivalent education","F","25-64 years",2017,125.8886,""
"130","Belgium","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2017,133.9103,""
"131","Belgium","Master’s, Doctoral or equivalent education","T","25-64 years",2017,145.3145,""
"132","Belgium","Master’s, Doctoral or equivalent education","F","25-64 years",2017,141.3253,""
"133","Belgium","Master’s, Doctoral or equivalent education","M","25-64 years",2017,150.5561,""
"134","Belgium","Bachelor’s or equivalent education","T","25-64 years",2017,141.1669,""
"135","Belgium","Bachelor’s or equivalent education","F","25-64 years",2017,165.8324,""
"136","Belgium","Bachelor’s or equivalent education","M","25-64 years",2017,129.5022,""
"137","Belgium","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2017,143.2074,""
"138","Belgium","Master’s, Doctoral or equivalent education","F","25-64 years",2017,191.7519,""
"139","Belgium","Master’s, Doctoral or equivalent education","M","25-64 years",2017,156.9973,""
"140","Belgium","Bachelor’s or equivalent education","T","25-64 years",2017,140.6278,""
"141","Belgium","Bachelor’s or equivalent education","F","25-64 years",2017,164.6218,""
"142","Belgium","Bachelor’s or equivalent education","M","25-64 years",2017,129.4853,""
"143","Belgium","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2017,143.1888,""
"144","Belgium","Master’s, Doctoral or equivalent education","F","25-64 years",2017,190.3521,""
"145","Belgium","Master’s, Doctoral or equivalent education","M","25-64 years",2017,156.9768,""
"146","Belgium","Bachelor’s or equivalent education","T","25-64 years",2017,141.1669,""
"147","Belgium","Bachelor’s or equivalent education","F","25-64 years",2017,165.8324,""
"148","Belgium","Bachelor’s or equivalent education","M","25-64 years",2017,129.5022,""
"149","Belgium","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2017,143.2074,""
"150","Belgium","Master’s, Doctoral or equivalent education","F","25-64 years",2017,191.7519,""
"151","Belgium","Master’s, Doctoral or equivalent education","M","25-64 years",2017,156.9973,""
"152","Canada","Tertiary education","F","25-64 years",2016,156.2198,""
"153","Canada","Tertiary education","M","25-64 years",2016,149.45805,""
"154","Canada","Bachelor’s or equivalent education","M","25-64 years",2016,155.61256,""
"155","Canada","Tertiary education","F","25-64 years",2016,155.87236,""
"156","Canada","Tertiary education","M","25-64 years",2016,139.76521,""
"157","Canada","Bachelor’s or equivalent education","M","25-64 years",2016,145.5206,""
"158","Canada","Tertiary education","F","25-64 years",2016,156.2198,""
"159","Canada","Tertiary education","M","25-64 years",2016,149.45805,""
"160","Canada","Bachelor’s or equivalent education","M","25-64 years",2016,155.61256,""
"161","Canada","Tertiary education","T","25-64 years",2016,139.83212,""
"162","Canada","Bachelor’s or equivalent education","T","25-64 years",2016,146.99803,""
"163","Canada","Bachelor's, Master’s, Doctoral or equivalent education","F","25-64 years",2016,161.29495,""
"164","Canada","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2016,164.51154,""
"165","Canada","Master’s, Doctoral or equivalent education","T","25-64 years",2016,180.7776,""
"166","Canada","Master’s, Doctoral or equivalent education","F","25-64 years",2016,187.77216,""
"167","Canada","Master’s, Doctoral or equivalent education","M","25-64 years",2016,183.05867,""
"168","Canada","Tertiary education","T","25-64 years",2016,133.43158,""
"169","Canada","Bachelor’s or equivalent education","T","25-64 years",2016,140.26947,""
"170","Canada","Bachelor’s or equivalent education","F","25-64 years",2016,149.63696,""
"171","Canada","Bachelor's, Master’s, Doctoral or equivalent education","F","25-64 years",2016,162.07532,""
"172","Canada","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2016,156.44855,""
"173","Canada","Master’s, Doctoral or equivalent education","T","25-64 years",2016,172.50285,""
"174","Canada","Master’s, Doctoral or equivalent education","F","25-64 years",2016,188.68062,""
"175","Canada","Master’s, Doctoral or equivalent education","M","25-64 years",2016,174.08667,""
"176","Canada","Tertiary education","T","25-64 years",2016,139.83212,""
"177","Canada","Bachelor’s or equivalent education","T","25-64 years",2016,146.99803,""
"178","Canada","Bachelor's, Master’s, Doctoral or equivalent education","F","25-64 years",2016,161.29495,""
"179","Canada","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2016,164.51154,""
"180","Canada","Master’s, Doctoral or equivalent education","T","25-64 years",2016,180.7776,""
"181","Canada","Master’s, Doctoral or equivalent education","F","25-64 years",2016,187.77216,""
"182","Canada","Master’s, Doctoral or equivalent education","M","25-64 years",2016,183.05867,""
"183","Canada","Bachelor’s or equivalent education","T","25-64 years",2016,170.53586,""
"184","Canada","Bachelor’s or equivalent education","F","25-64 years",2016,193.19313,""
"185","Canada","Bachelor’s or equivalent education","M","25-64 years",2016,168.60939,""
"186","Canada","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2016,180.18755,""
"187","Canada","Master’s, Doctoral or equivalent education","F","25-64 years",2016,239.58624,""
"188","Canada","Master’s, Doctoral or equivalent education","M","25-64 years",2016,200.93423,""
"189","Canada","Bachelor’s or equivalent education","T","25-64 years",2016,156.61777,""
"190","Canada","Bachelor’s or equivalent education","F","25-64 years",2016,190.30821,""
"191","Canada","Bachelor’s or equivalent education","M","25-64 years",2016,155.54224,""
"192","Canada","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2016,166.2231,""
"193","Canada","Master’s, Doctoral or equivalent education","F","25-64 years",2016,236.00854,""
"194","Canada","Master’s, Doctoral or equivalent education","M","25-64 years",2016,185.36192,""
"195","Canada","Bachelor’s or equivalent education","T","25-64 years",2016,170.53586,""
"196","Canada","Bachelor’s or equivalent education","F","25-64 years",2016,193.19313,""
"197","Canada","Bachelor’s or equivalent education","M","25-64 years",2016,168.60939,""
"198","Canada","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2016,180.18755,""
"199","Canada","Master’s, Doctoral or equivalent education","F","25-64 years",2016,239.58624,""
"200","Canada","Master’s, Doctoral or equivalent education","M","25-64 years",2016,200.93423,""
"201","Czech Republic","Tertiary education","F","25-64 years",2015,156.34106,""
"202","Czech Republic","Tertiary education","M","25-64 years",2015,181.65819,""
"203","Czech Republic","Bachelor’s or equivalent education","M","25-64 years",2015,152.22395,""
"204","Czech Republic","Tertiary education","F","25-64 years",2015,156.34106,""
"205","Czech Republic","Bachelor’s or equivalent education","M","25-64 years",2015,152.22395,""
"206","Czech Republic","Tertiary education","F","25-64 years",2015,156.34106,""
"207","Czech Republic","Bachelor’s or equivalent education","M","25-64 years",2015,152.22395,""
"208","Czech Republic","Tertiary education","T","25-64 years",2015,180.0513,""
"209","Czech Republic","Bachelor’s or equivalent education","T","25-64 years",2015,156.53638,""
"210","Czech Republic","Bachelor's, Master’s, Doctoral or equivalent education","F","25-64 years",2015,171.98372,""
"211","Czech Republic","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2015,191.88167,""
"212","Czech Republic","Master’s, Doctoral or equivalent education","T","25-64 years",2015,190.23241,""
"213","Czech Republic","Master’s, Doctoral or equivalent education","F","25-64 years",2015,175.88092,""
"214","Czech Republic","Master’s, Doctoral or equivalent education","M","25-64 years",2015,193.94005,""
"215","Czech Republic","Tertiary education","T","25-64 years",2015,180.0513,""
"216","Czech Republic","Bachelor’s or equivalent education","T","25-64 years",2015,156.53638,""
"217","Czech Republic","Bachelor's, Master’s, Doctoral or equivalent education","F","25-64 years",2015,171.98372,""
"218","Czech Republic","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2015,191.88167,""
"219","Czech Republic","Master’s, Doctoral or equivalent education","T","25-64 years",2015,190.23241,""
"220","Czech Republic","Master’s, Doctoral or equivalent education","F","25-64 years",2015,175.88092,""
"221","Czech Republic","Master’s, Doctoral or equivalent education","M","25-64 years",2015,193.94005,""
"222","Czech Republic","Tertiary education","T","25-64 years",2015,180.0513,""
"223","Czech Republic","Bachelor’s or equivalent education","T","25-64 years",2015,156.53638,""
"224","Czech Republic","Bachelor's, Master’s, Doctoral or equivalent education","F","25-64 years",2015,171.98372,""
"225","Czech Republic","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2015,191.88167,""
"226","Czech Republic","Master’s, Doctoral or equivalent education","T","25-64 years",2015,190.23241,""
"227","Czech Republic","Master’s, Doctoral or equivalent education","F","25-64 years",2015,175.88092,""
"228","Czech Republic","Master’s, Doctoral or equivalent education","M","25-64 years",2015,193.94005,""
"229","Czech Republic","Bachelor’s or equivalent education","T","25-64 years",2015,NA,"Missing data"
"230","Czech Republic","Bachelor’s or equivalent education","F","25-64 years",2015,NA,"Missing data"
"231","Czech Republic","Bachelor’s or equivalent education","M","25-64 years",2015,NA,"Missing data"
"232","Czech Republic","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2015,NA,"Missing data"
"233","Czech Republic","Master’s, Doctoral or equivalent education","F","25-64 years",2015,NA,"Missing data"
"234","Czech Republic","Master’s, Doctoral or equivalent education","M","25-64 years",2015,NA,"Missing data"
"235","Czech Republic","Bachelor’s or equivalent education","T","25-64 years",2015,NA,"Missing data"
"236","Czech Republic","Bachelor’s or equivalent education","F","25-64 years",2015,NA,"Missing data"
"237","Czech Republic","Bachelor’s or equivalent education","M","25-64 years",2015,NA,"Missing data"
"238","Czech Republic","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2015,NA,"Missing data"
"239","Czech Republic","Master’s, Doctoral or equivalent education","F","25-64 years",2015,NA,"Missing data"
"240","Czech Republic","Master’s, Doctoral or equivalent education","M","25-64 years",2015,NA,"Missing data"
"241","Czech Republic","Bachelor’s or equivalent education","T","25-64 years",2015,NA,"Missing data"
"242","Czech Republic","Bachelor’s or equivalent education","F","25-64 years",2015,NA,"Missing data"
"243","Czech Republic","Bachelor’s or equivalent education","M","25-64 years",2015,NA,"Missing data"
"244","Czech Republic","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2015,NA,"Missing data"
"245","Czech Republic","Master’s, Doctoral or equivalent education","F","25-64 years",2015,NA,"Missing data"
"246","Czech Republic","Master’s, Doctoral or equivalent education","M","25-64 years",2015,NA,"Missing data"
"247","Denmark","Tertiary education","F","25-64 years",2017,126.90416,""
"248","Denmark","Tertiary education","M","25-64 years",2017,137.50325,""
"249","Denmark","Bachelor’s or equivalent education","M","25-64 years",2017,120.6064,""
"250","Denmark","Tertiary education","F","25-64 years",2017,126.28295,""
"251","Denmark","Tertiary education","M","25-64 years",2017,137.15681,""
"252","Denmark","Bachelor’s or equivalent education","M","25-64 years",2017,120.30254,""
"253","Denmark","Tertiary education","F","25-64 years",2017,126.90416,""
"254","Denmark","Tertiary education","M","25-64 years",2017,137.50325,""
"255","Denmark","Bachelor’s or equivalent education","M","25-64 years",2017,120.6064,""
"256","Denmark","Tertiary education","T","25-64 years",2017,124.91659,""
"257","Denmark","Bachelor’s or equivalent education","T","25-64 years",2017,113.51891,""
"258","Denmark","Bachelor's, Master’s, Doctoral or equivalent education","F","25-64 years",2017,125.02694,""
"259","Denmark","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2017,136.73013,""
"260","Denmark","Master’s, Doctoral or equivalent education","T","25-64 years",2017,147.71007,""
"261","Denmark","Master’s, Doctoral or equivalent education","F","25-64 years",2017,145.91722,""
"262","Denmark","Master’s, Doctoral or equivalent education","M","25-64 years",2017,152.30672,""
"263","Denmark","Tertiary education","T","25-64 years",2017,124.63681,""
"264","Denmark","Bachelor’s or equivalent education","T","25-64 years",2017,113.26466,""
"265","Denmark","Bachelor's, Master’s, Doctoral or equivalent education","F","25-64 years",2017,124.53307,""
"266","Denmark","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2017,136.45026,""
"267","Denmark","Master’s, Doctoral or equivalent education","T","25-64 years",2017,147.37923,""
"268","Denmark","Master’s, Doctoral or equivalent education","F","25-64 years",2017,145.34084,""
"269","Denmark","Master’s, Doctoral or equivalent education","M","25-64 years",2017,151.99496,""
"270","Denmark","Tertiary education","T","25-64 years",2017,124.91659,""
"271","Denmark","Bachelor’s or equivalent education","T","25-64 years",2017,113.51891,""
"272","Denmark","Bachelor's, Master’s, Doctoral or equivalent education","F","25-64 years",2017,125.02694,""
"273","Denmark","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2017,136.73013,""
"274","Denmark","Master’s, Doctoral or equivalent education","T","25-64 years",2017,147.71007,""
"275","Denmark","Master’s, Doctoral or equivalent education","F","25-64 years",2017,145.91722,""
"276","Denmark","Master’s, Doctoral or equivalent education","M","25-64 years",2017,152.30672,""
"277","Denmark","Bachelor’s or equivalent education","T","25-64 years",2017,112.98191,""
"278","Denmark","Bachelor’s or equivalent education","F","25-64 years",2017,119.79024,""
"279","Denmark","Bachelor’s or equivalent education","M","25-64 years",2017,121.58179,""
"280","Denmark","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2017,146.9538,""
"281","Denmark","Master’s, Doctoral or equivalent education","T","25-64 years",2017,175.47479,""
"282","Denmark","Master’s, Doctoral or equivalent education","F","25-64 years",2017,177.42632,""
"283","Denmark","Master’s, Doctoral or equivalent education","M","25-64 years",2017,180.1004,""
"284","Denmark","Bachelor’s or equivalent education","T","25-64 years",2017,112.56998,""
"285","Denmark","Bachelor’s or equivalent education","F","25-64 years",2017,119.04976,""
"286","Denmark","Bachelor’s or equivalent education","M","25-64 years",2017,121.23252,""
"287","Denmark","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2017,146.53163,""
"288","Denmark","Master’s, Doctoral or equivalent education","T","25-64 years",2017,174.83502,""
"289","Denmark","Master’s, Doctoral or equivalent education","F","25-64 years",2017,176.32957,""
"290","Denmark","Master’s, Doctoral or equivalent education","M","25-64 years",2017,179.58302,""
"291","Denmark","Bachelor’s or equivalent education","T","25-64 years",2017,112.98191,""
"292","Denmark","Bachelor’s or equivalent education","F","25-64 years",2017,119.79024,""
"293","Denmark","Bachelor’s or equivalent education","M","25-64 years",2017,121.58179,""
"294","Denmark","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2017,146.9538,""
"295","Denmark","Master’s, Doctoral or equivalent education","T","25-64 years",2017,175.47479,""
"296","Denmark","Master’s, Doctoral or equivalent education","F","25-64 years",2017,177.42632,""
"297","Denmark","Master’s, Doctoral or equivalent education","M","25-64 years",2017,180.1004,""
"298","Finland","Tertiary education","F","25-64 years",2016,143.64034,""
"299","Finland","Tertiary education","M","25-64 years",2016,145.57828,""
"300","Finland","Bachelor’s or equivalent education","M","25-64 years",2016,129.67047,""
"301","Finland","Tertiary education","F","25-64 years",2016,142.81807,""
"302","Finland","Tertiary education","M","25-64 years",2016,144.62538,""
"303","Finland","Bachelor’s or equivalent education","M","25-64 years",2016,128.82169,""
"304","Finland","Tertiary education","F","25-64 years",2016,143.64034,""
"305","Finland","Tertiary education","M","25-64 years",2016,145.57828,""
"306","Finland","Bachelor’s or equivalent education","M","25-64 years",2016,129.67047,""
"307","Finland","Tertiary education","T","25-64 years",2016,135.06822,""
"308","Finland","Bachelor’s or equivalent education","T","25-64 years",2016,120.16811,""
"309","Finland","Bachelor’s or equivalent education","F","25-64 years",2016,119.88879,""
"310","Finland","Bachelor's, Master’s, Doctoral or equivalent education","F","25-64 years",2016,144.13057,""
"311","Finland","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2016,143.79845,""
"312","Finland","Master’s, Doctoral or equivalent education","T","25-64 years",2016,160.32326,""
"313","Finland","Master’s, Doctoral or equivalent education","F","25-64 years",2016,167.0789,""
"314","Finland","Master’s, Doctoral or equivalent education","M","25-64 years",2016,161.54489,""
"315","Finland","Tertiary education","T","25-64 years",2016,134.37767,""
"316","Finland","Bachelor’s or equivalent education","T","25-64 years",2016,119.55374,""
"317","Finland","Bachelor’s or equivalent education","F","25-64 years",2016,119.33271,""
"318","Finland","Bachelor's, Master’s, Doctoral or equivalent education","F","25-64 years",2016,143.46207,""
"319","Finland","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2016,143.00525,""
"320","Finland","Master’s, Doctoral or equivalent education","T","25-64 years",2016,159.50359,""
"321","Finland","Master’s, Doctoral or equivalent education","F","25-64 years",2016,166.30396,""
"322","Finland","Master’s, Doctoral or equivalent education","M","25-64 years",2016,160.65381,""
"323","Finland","Tertiary education","T","25-64 years",2016,135.06822,""
"324","Finland","Bachelor’s or equivalent education","T","25-64 years",2016,120.16811,""
"325","Finland","Bachelor's, Master’s, Doctoral or equivalent education","F","25-64 years",2016,144.13057,""
"326","Finland","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2016,143.79845,""
"327","Finland","Master’s, Doctoral or equivalent education","T","25-64 years",2016,160.32326,""
"328","Finland","Master’s, Doctoral or equivalent education","F","25-64 years",2016,167.0789,""
"329","Finland","Master’s, Doctoral or equivalent education","M","25-64 years",2016,161.54489,""
"330","Finland","Bachelor’s or equivalent education","T","25-64 years",2016,143.82771,""
"331","Finland","Bachelor’s or equivalent education","F","25-64 years",2016,142.70613,""
"332","Finland","Bachelor’s or equivalent education","M","25-64 years",2016,152.25502,""
"333","Finland","Bachelor's, Master’s, Doctoral or equivalent education","M","25-64 years",2016,175.43478,""
"334","Finland","Master’s, Doctoral or equivalent education","T","25-64 years",2016,197.55896,""
"335","Finland","Master’s, Doctoral or equivalent education","F","25-64 years",2016,205.8425,""
"336","Finland","Master’s, Doctoral or equivalent education","M","25-64 years",2016,198.43062,""
