"COUNTRY","Country","ISC11A","ISCED-A 2011","SEX","Gender","AGE","Age","PIAAC_CATEGORY","Category","INDICATOR","Indicator","MEASURE","Measure","YEAR","Reference year","Value","Flag Codes","Flags"
"AUS","Australia","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L2","Level (2)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",3600,,
"AUS","Australia","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L3","Level (3)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",3600,,
"AUS","Australia","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L3","Level (3)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",4300,,
"AUS","Australia","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",4300,,
"AUS","Australia","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",5400,,
"AUT","Austria","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",17,,
"AUT","Austria","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",13,,
"AUT","Austria","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L2","Level (2)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",38,,
"AUT","Austria","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L2","Level (2)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",30,,
"AUT","Austria","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L3","Level (3)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",35,,
"AUT","Austria","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L3","Level (3)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",40,,
"AUT","Austria","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",10,,
"AUT","Austria","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",18,,
"AUT","Austria","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",2200,,
"AUT","Austria","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",2900,,
"AUT","Austria","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L2","Level (2)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",2700,,
"AUT","Austria","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L2","Level (2)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",3400,,
"AUT","Austria","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L3","Level (3)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",3400,,
"AUT","Austria","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L3","Level (3)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",4200,,
"AUT","Austria","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",3800,,
"AUT","Austria","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",5000,,
"CAN","Canada","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",26,,
"CAN","Canada","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",20,,
"CAN","Canada","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L2","Level (2)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",34,,
"CAN","Canada","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L2","Level (2)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",29,,
"CAN","Canada","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L3","Level (3)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",30,,
"CAN","Canada","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L3","Level (3)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",35,,
"CAN","Canada","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",9,,
"CAN","Canada","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",17,,
"CAN","Canada","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",3900,,
"CAN","Canada","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",3300,,
"CAN","Canada","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L2","Level (2)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",3300,,
"CAN","Canada","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L2","Level (2)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",4400,,
"CAN","Canada","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L3","Level (3)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",3900,,
"CAN","Canada","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L3","Level (3)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",5200,,
"CAN","Canada","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",4600,,
"CAN","Canada","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",6300,,
"CZE","Czech Republic","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",15,,
"CZE","Czech Republic","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",10,,
"CZE","Czech Republic","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L2","Level (2)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",38,,
"CZE","Czech Republic","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L2","Level (2)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",33,,
"CZE","Czech Republic","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L3","Level (3)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",37,,
"CZE","Czech Republic","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L3","Level (3)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",43,,
"CZE","Czech Republic","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",9,,
"CZE","Czech Republic","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",14,,
"CZE","Czech Republic","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",1000,,
"CZE","Czech Republic","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",1500,,
"CZE","Czech Republic","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L2","Level (2)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",1200,,
"CZE","Czech Republic","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L2","Level (2)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",1600,,
"CZE","Czech Republic","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L3","Level (3)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",1400,,
"CZE","Czech Republic","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L3","Level (3)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",1700,,
"CZE","Czech Republic","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",1800,,
"CZE","Czech Republic","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",2100,,
"DNK","Denmark","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",16,,
"DNK","Denmark","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",13,,
"DNK","Denmark","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L2","Level (2)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",33,,
"DNK","Denmark","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L2","Level (2)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",26,,
"DNK","Denmark","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L3","Level (3)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",38,,
"DNK","Denmark","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L3","Level (3)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",39,,
"DNK","Denmark","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",13,,
"DNK","Denmark","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",23,,
"DNK","Denmark","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",2900,,
"DNK","Denmark","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",3300,,
"DNK","Denmark","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L2","Level (2)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",3200,,
"DNK","Denmark","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L2","Level (2)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",3900,,
"DNK","Denmark","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L3","Level (3)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",3700,,
"DNK","Denmark","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L3","Level (3)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",4400,,
"DNK","Denmark","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",4300,,
"DNK","Denmark","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",5100,,
"FIN","Finland","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",14,,
"FIN","Finland","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",12,,
"FIN","Finland","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L2","Level (2)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",32,,
"FIN","Finland","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L2","Level (2)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",26,,
"FIN","Finland","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L3","Level (3)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",38,,
"FIN","Finland","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L3","Level (3)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",38,,
"FIN","Finland","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",16,,
"FIN","Finland","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",24,,
"FIN","Finland","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",2200,,
"FIN","Finland","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",2800,,
"FIN","Finland","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L2","Level (2)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",2500,,
"FIN","Finland","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L2","Level (2)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",3200,,
"FIN","Finland","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L3","Level (3)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",2900,,
"FIN","Finland","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L3","Level (3)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",3600,,
"FIN","Finland","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",3300,,
"FIN","Finland","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",4000,,
"FRA","France","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",32,,
"FRA","France","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",27,,
"FRA","France","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L2","Level (2)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",35,,
"FRA","France","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L2","Level (2)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",32,,
"FRA","France","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L3","Level (3)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",27,,
"FRA","France","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L3","Level (3)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",30,,
"FRA","France","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",6,,
"FRA","France","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",11,,
"FRA","France","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",1800,,
"FRA","France","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",2200,,
"FRA","France","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L2","Level (2)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",2200,,
"FRA","France","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L2","Level (2)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",2600,,
"FRA","France","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L3","Level (3)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",2700,,
"FRA","France","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L3","Level (3)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",3100,,
"FRA","France","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",3200,,
"FRA","France","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",3600,,
"DEU","Germany","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",23,,
"DEU","Germany","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",15,,
"DEU","Germany","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L2","Level (2)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",34,,
"DEU","Germany","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L2","Level (2)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",29,,
"DEU","Germany","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L3","Level (3)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",33,,
"DEU","Germany","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L3","Level (3)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",37,,
"DEU","Germany","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",10,,
"DEU","Germany","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_SHARE_NUM","Share of population by numeracy proficiency levels","VALUE","Value","2012","2012",19,,
"DEU","Germany","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",2300,,
"DEU","Germany","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",2800,,
"DEU","Germany","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L2","Level (2)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",2800,,
"DEU","Germany","_T_T_T","All ISCED levels","M","Men","Y25T64","25-64 years","L2","Level (2)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",3400,,
"DEU","Germany","_T_T_T","All ISCED levels","F","Women","Y25T64","25-64 years","L3","Level (3)","PIAAC_MONTH_FTFY_EARNERS_NUM","Full-time full-year monthly earnings, by numeracy level","VALUE","Value","2012","2012",3400,,
